char,hanviet,pinyin
絅,['quýnh'],jiong3
絆,['bán'],ban4
絎,['hàng'],hang2
絲,['tơ'],si1
絳,['giáng'],jiang4
絺,['hy'],chi1
綀,['sơ'],shu1
綁,['bảng'],bang3
綖,['diên'],yan2
綝,['sâm'],chen1
綦,['kỳ'],qi2
綪,['thiến'],qian4
綵,['thái'],cai3
綷,['tuý'],cui4
緇,['tri'],zi1
緌,['nhuy'],rui2
締,['đế'],di4
緦,['ty'],si1
緬,['miến'],mian3
緯,['vĩ'],wei3
緲,['miểu'],miao3
縋,['truý'],zhui4
縭,['ly'],li2
縵,['mạn'],man4
縻,['my'],mi2
纑,['lô'],lu2
罈,['đàm'],tan2
罋,['úng'],weng4
罏,['lư'],lu2
罡,['cương'],gang1
罣,['quái'],gua4
罨,['yểm'],yan3
罩,['tráo'],zhao4
署,['thự'],shu3
罳,['ty'],si1
罹,['lo'],li2
羀,['lữu'],liu3
羂,['quyến'],juan4
羇,['ky'],ji1
羈,['ky'],ji1
羊,['dương'],yang2
美,['mỹ'],mei3
羑,['dữu'],you3
羯,['yết'],jie2
羲,['hy'],xi1
羴,['thiên'],shan1
羶,['thiên'],shan1
翃,['hồng'],hong2
翊,['dực'],yi4
翡,['phỉ'],fei3
翥,['trứ'],zhu4
翱,['ngao'],ao2
翺,['ngao'],ao2
翿,['đạo'],dao4
耇,['cẩu'],gou3
耈,['cẩu'],gou3
耍,['soạ'],shua3
耔,['tỷ'],zi3
耖,['sáo'],chao4
耜,['cử'],si4
耡,['sừ'],chu2
耷,['đạp'],da1
耼,['đam'],dan1
聃,['đam'],dan1
聯,['liên'],lian2
肘,['chỏ'],zhou3
肯,['khẳng'],ken3
胃,['vị'],wei4
胇,['phế'],fei4
胙,['tạc'],zuo4
胾,['chí'],zi4
腆,['thiển'],tian3
腐,['hủ'],fu3
腕,['oản'],wan4
腫,['trũng'],zhong3
腸,['tràng'],chang2
腿,['thối'],tui3
膋,['liêu'],liao2
膓,['tràng'],chang2
膦,['lân'],lin4
膩,['nhị'],ni4
膰,['phần'],fan2
膾,['khoái'],kuai4
膿,['nùng'],nong2
臉,['kiểm'],lian3
臏,['tẫn'],bin4
臝,['loã'],luo3
臬,['niết'],nie4
臻,['trăn'],zhen1
臿,['sáp'],cha1
舀,['yểu'],yao3
舐,['thỉ'],shi4
舓,['thị'],shi4
舛,['suyễn'],chuan3
舟,['chu'],zhou1
舫,['phảng'],fang3
舶,['bạc'],bo2
艑,['biện'],bian4
艗,['dật'],yi4
艿,['nãi'],nai3
芃,['bồng'],peng2
芰,['kỵ'],ji4
苘,['khoảnh'],qing3
苯,['bản'],ben3
苾,['bật'],bi4
茞,['thần'],chen2
茨,['tỳ'],ci2
茷,['pha'],fa2
茹,['như'],ru2
茻,['mãng'],mang3
莔,['manh'],meng2
莙,['quân'],jun1
菁,['tinh'],jing1
菆,['tưu'],zou1
菡,['hạm'],han4
菷,['chổi'],zhou3
萃,['tuỵ'],cui4
萇,['trường'],chang2
葦,['vĩ'],wei3
葸,['tỷ'],xi3
蒗,['lạng'],lang4
蓉,['dung'],rong2
蓏,['loả'],luo3
蓖,['bế'],bi4
蓰,['tỷ'],xi3
蓷,['thôi'],tui1
蕆,['sản'],chan3
蕕,['du'],you2
蕡,['phần'],fen2
蕾,['lôi'],lei3
薈,['hội'],hui4
薙,['thế'],ti4
薦,['tiến'],jian4
薨,['hoăng'],hong1
薳,['vĩ'],wei3
藚,['tục'],xu4
藴,['uẩn'],yun4
蘁,['ngộ'],wu4
蘂,['nhuỵ'],rui3
蘅,['hành'],heng2
蘆,['lô'],lu2
蘸,['chấm'],zhan4
蘺,['ly'],li2
蘼,['my'],mi2
虓,['hao'],xiao1
虛,['hư'],xu1
虢,['quắc'],guo2
虩,['khích'],xi4
蚘,['hồi'],hui2
蚜,['nha'],ya2
蚡,['phần'],fen2
蚩,['si'],chi1
蚯,['khưu'],qiu1
蛛,['chu'],zhu1
蛹,['nhộng'],yong3
蛺,['giáp'],jia2
蜊,['lị'],li2
蜞,['kỳ'],qi2
蜱,['tỳ'],pi2
蜽,['lưỡng'],liang3
螄,['sư'],si1
融,['dung'],rong2
螎,['dung'],rong2
螓,['tần'],qin2
螘,['nghĩ'],yi3
螭,['ly'],chi1
蟢,['hỷ'],xi3
蠆,['sái'],chai4
蠋,['trục'],zhu2
蠍,['hiết'],xie1
蠟,['lạp'],la4
蠮,['ế'],ye1
蠶,['tằm'],can2
衋,['hức'],xi4
衡,['hành'],heng2
袈,['cà'],jia1
袟,['trật'],zhi4
袠,['trật'],zhi4
袢,['phán'],pan4
裊,['niểu'],niao3
裏,['lý'],li3
裘,['cừu'],qiu2
裡,['lý'],li3
裱,['biểu'],biao3
裹,['khoả'],guo3
褒,['bao'],bao1
褔,['phó'],fu4
褘,['huy'],hui1
褡,['đáp'],da1
褦,['nại'],nai4
褰,['khiên'],qian1
褵,['ly'],li2
襇,['giản'],jian3
襌,['đan'],dan1
襚,['tuỳ'],sui4
襛,['nùng'],nong2
襠,['đũng'],dang1
襡,['thục'],shu2
襪,['vạt'],wa4
襬,['bãi'],bai3
西,['tây'],xi1
覅,['phiếu'],fiao4
覆,['phúc'],fu4
覇,['bá'],ba4
覉,['ky'],ji1
覊,['ky'],ji1
覜,['thiếu'],tiao4
覬,['ký'],ji4
観,['quan'],guan1
覷,['thứ'],qu4
觥,['quang'],gong1
觴,['thương'],shang1
觵,['quang'],gong1
訄,['cầu'],qiu2
計,['kế'],ji4
訕,['san'],shan4
訖,['cật'],qi4
記,['ký'],ji4
訪,"['phỏng', 'phóng']",fang3
訬,['sao'],chao1
詀,['chiêm'],zhan1
詁,['cổ'],gu3
詑,['tha'],tuo2
詗,['huýnh'],xiong4
詛,['rủa'],zu3
詭,['quỷ'],gui3
詻,['ách'],e4
誂,['điểu'],tiao3
誄,['luỵ'],lei3
誇,['khoa'],kua1
誋,['kỵ'],ji4
諉,['uỷ'],wei3
諟,['thị'],shi4
諢,['hộn'],hun4
諮,['tư'],zi1
謍,['doanh'],ying2
謐,['mịch'],mi4
譆,['hi'],xi1
譏,['cơ'],ji1
譜,"['phả', 'phổ']",pu3
譫,['chiêm'],zhan1
讆,['nguỵ'],wei4
變,['biến'],bian4
讌,['yến'],yan4
讞,['nghiệm'],yan4
豌,['oản'],wan1
象,['tượng'],xiang4
豨,['heo'],xi1
豸,['trĩ'],zhi4
貔,['tỳ'],pi2
貙,['sơ'],chu1
貜,['cước'],jue2
販,['phiến'],fan4
貲,['tư'],zi1
賚,['lại'],lai4
賢,['hiền'],xian2
賸,['thặng'],sheng4
賽,['tái'],sai4
赤,['xích'],chi4
赧,['noản'],nan3
赬,['trinh'],cheng1
起,['khởi'],qi3
赸,['sán'],shan4
跏,['già'],jia1
跗,['phu'],fu1
跟,['cân'],gen1
跲,['vấp'],jia2
跴,['thải'],cai3
跺,['đoá'],duo4
跽,['kỵ'],ji4
踠,['oản'],wan3
踤,['tột'],cu4
踰,['du'],yu2
踴,['dũng'],yong3
踽,['củ'],ju3
蹁,['biên'],pian2
蹂,['nhựu'],rou2
蹋,['đạp'],ta4
蹙,['xúc'],cu4
蹦,['bính'],beng4
蹩,['biệt'],bie2
躂,['đáp'],da1
躋,['tê'],ji1
躘,['lung'],long2
躡,['niếp'],nie4
躩,['khước'],jue2
躶,"['loã', 'khoả']",luo3
軏,['ngột'],yue4
輈,['chu'],zhou1
輛,['lượng'],liang4
輟,['chuyết'],chuo4
輭,['nhuyễn'],ruan3
輵,['cát'],ge2
輹,['phúc'],fu4
輻,['phúc'],fu2
轑,['lảo'],lao3
轟,['oanh'],hong1
轤,['lô'],lu2
辦,['biện'],ban4
辰,"['thìn', 'thần']",chen2
迄,['hất'],qi4
返,['phản'],fan3
迢,['điều'],tiao2
迥,['quýnh'],jiong3
退,['thoái'],tui4
逆,['nghịch'],ni4
逈,['quýnh'],jiong3
逌,['du'],you2
逖,['thích'],ti4
進,['tiến'],jin4
逿,['đãng'],dang4
遙,['dao'],yao2
避,['tị'],bi4
邅,['chuyên'],zhan1
邐,['lệ'],li3
邛,['cung'],qiong2
邱,['khâu'],qiu1
邲,['bật'],bi4
邴,['bỉnh'],bing3
邶,['bội'],bei4
郁,['úc'],yu4
郙,['phủ'],fu3
郤,['khích'],xi4
郰,['châu'],zou1
鄄,['quyến'],juan4
鄗,['hạo'],hao4
鄢,['yên'],yan1
鄶,['cối'],kuai4
酅,['hy'],xi1
酎,['trữu'],zhou4
酐,['can'],gan1
酗,['hú'],xu4
酹,['lỗi'],lei4
酺,['bô'],pu2
醋,['thố'],cu4
醑,['tữ'],xu3
醓,['thản'],tan3
醚,['mê'],mi2
醛,['thuyên'],quan2
醞,['uấn'],yun4
醨,['ly'],li2
醪,['lao'],lao2
醫,['y'],yi1
醯,['ê'],xi1
醻,['thù'],chou2
醾,['my'],mi2
釅,['nghiệm'],yan4
里,['lý'],li3
釙,['bộc'],po1
針,['châm'],zhen1
釦,['khấu'],kou4
釩,['phàm'],fan2
釱,['đệ'],di4
鉈,['tha'],ta1
鉉,['huyễn'],xuan4
鉍,['bí'],bi4
鉑,['bạc'],bo2
鉺,['nhĩ'],er3
鉻,['các'],ge4
銍,['chí'],zhi4
銛,['tiêm'],xian1
銲,['hàn'],han4
銼,['toả'],cuo4
鋊,['dụ'],yu4
鋏,['kìm'],jia2
錇,['bồi'],pei2
錍,['phê'],pi1
錐,['truy'],zhui1
錔,['thạp'],ta4
錘,['chuỳ'],chui2
錙,['tri'],zi1
錟,['đàm'],tan2
錳,['mãnh'],meng3
錵,['hoa'],hua1
鍉,['đề'],di1
鍛,['đoán'],duan4
鍶,['tư'],si1
鍺,['giả'],zhe3
鎂,['mỹ'],mei3
鎔,['dung'],rong2
鎘,['cách'],ge2
鎚,['chuỳ'],chui2
鏐,['lưu'],liu2
鏞,['dung'],yong1
鏟,['sạn'],chan3
鏡,['kính'],jing4
鏢,['tiêu'],biao1
鏾,['tản'],san3
鑌,['tân'],bin1
鑐,['tu'],xu1
鑛,"['khoáng', 'quặng']",kuang4
鑪,['lò'],lu2
鑭,['lan'],lan2
钁,['cuốc'],jue2
閃,['thiểm'],shan3
閎,['hoành'],hong2
閙,['náo'],nao4
閦,['súc'],chu4
閾,['vực'],yu4
闈,['vi'],wei2
闒,['tháp'],ta4
關,['quan'],guan1
闟,['hấp'],xi1
闠,['hội'],hui4
闢,['tịch'],pi4
阰,['tỳ'],pi2
阱,['tỉnh'],jing3
阼,['tộ'],zuo4
陁,[],tuo2
隮,['tê'],ji1
雊,['cấu'],gou4
雍,['ung'],yong1
雎,['sư'],ju1
雖,['tuy'],sui1
雝,['ung'],yong1
霉,['mốc'],mei2
霎,['siếp'],sha4
霑,['triêm'],zhan1
霰,['tản'],xian4
霹,['phích'],pi1
霽,['tạnh'],ji4
靄,['ải'],ai3
靜,['tĩnh'],jing4
靠,['kháo'],kao4
鞌,['yên'],an1
鞍,['yên'],an1
鞹,['khuếch'],kuo4
韈,['vạt'],wa4
韔,['sướng'],chang4
韮,['cửu'],jiu3
頂,['đỉnh'],ding3
頍,['khuể'],kui3
領,['lãnh'],ling3
頯,['quỳ'],kui2
頲,['thỉnh'],ting3
頳,['trinh'],cheng1
頷,['hàm'],han4
顗,['ỷ'],yi3
顥,['hạo'],hao4
顱,['lâu'],lu2
颭,['triển'],zhan3
颮,['tiêu'],biao1
颱,['đài'],tai2
颸,['ty'],si1
颻,['diêu'],yao2
颼,['sưu'],sou1
颿,['phàm'],fan1
飆,['tiêu'],biao1
飡,['xan'],can1
飢,['cơ'],ji1
飧,['tôn'],sun1
飫,['ứ'],yu4
飮,['ẩm'],yin3
飯,['phạn'],fan4
飰,['phạn'],fan4
飱,['tôn'],sun1
餂,['thiểm'],tian3
餌,['nhử'],er3
餓,['ngạ'],e4
餤,['đàm'],tan2
餼,['hý'],xi4
饁,['diệp'],ye4
饇,['ứ'],yu4
饊,['tản'],san3
首,"['thủ', 'thú']",shou3
馡,['phi'],fei1
馯,['hãn'],han4
駙,['phò'],fu4
駝,['đà'],tuo2
騂,['tuynh'],xing1
騌,['tông'],zong1
騍,['khoá'],ke4
騏,['kỳ'],qi2
騙,['phiến'],pian4
騸,['thiến'],shan4
騾,['la'],luo2
驘,['la'],luo2
驥,['ký'],ji4
骾,['ngạnh'],geng3
髐,['hiêu'],xiao1
髕,['tẫn'],bin4
髧,['đạm'],dan4
髩,['tấn'],bin4
髫,['thiều'],tiao2
髭,['tỳ'],zi1
髺,['quát'],kuo4
髽,['qua'],zhua1
鬁,['lị'],li4
鬆,['tông'],song1
鬎,['lạt'],la4
鬐,['kỳ'],qi2
鬢,['tấn'],bin4
鬧,['náo'],nao4
鬱,['uất'],yu4
鬴,['phủ'],fu3
魎,['lượng'],liang3
魑,['si'],chi1
魯,['lỗ'],lu3
鮎,['niêm'],nian2
鮚,['cát'],jie2
鮠,['nguy'],wei2
鮪,['vị'],wei3
鯁,['ngạnh'],geng3
鯉,['lý'],li3
鯫,['tưu'],zou1
鯰,['niêm'],nian2
鰩,['diêu'],yao2
鰭,['kỳ'],qi2
鱄,['chuyên'],zhuan1
鱉,['ba'],bie1
鱟,['hấu'],hou4
鱠,['khoái'],kuai4
鱸,['lư'],lu2
鳳,['phượng'],feng4
鴆,['trậm'],zhen4
鴞,['hiêu'],xiao1
鵻,['chuy'],zhui1
鷓,['giá'],zhe4
鷟,['trạc'],zhuo2
鷥,['tư'],si1
鷲,['thứu'],jiu4
鸝,['ly'],li2
鹸,['kiềm'],jian3
鹻,['kiềm'],jian3
鹼,['kiềm'],jian3
麂,['kỷ'],ji3
麋,['my'],mi2
麒,['kỳ'],qi2
麚,['gia'],jia1
麛,['mê'],mi2
黃,['hoàng'],huang2
黈,['thẩu'],tou3
黴,['mốc'],mei2
黿,['ngoan'],yuan2
鼄,['chu'],zhu1
鼈,['ba'],bie1
鼒,['tư'],zi1
鼙,['bề'],pi2
鼚,['xương'],chang1
鼛,['cao'],gao1
鼢,['phẫn'],fen2
鼻,['tỵ'],bi2
鼾,['han'],han1
齣,['xuất'],chu1
齧,['nhai'],nie4
齪,['xúc'],chuo4
齰,['trách'],ze2
齲,['sâu'],qu3
龐,['bàng'],pang2
龝,['thu'],qiu1
龠,['dược'],yue4
㒸,['toại'],*
㥯,['ẩn'],*
㨪,['hoảng'],*
一,['nhất'],*
丂,['khảo'],*
七,['thất'],*
丄,['thượng'],*
丅,['hạ'],*
丈,['trượng'],*
丐,['cái'],*
丕,['phi'],*
世,['thế'],*
丙,['bính'],*
丟,['đâu'],*
丣,['dậu'],*
丨,['cổn'],*
丩,['cưu'],*
丮,['kịch'],*
丰,['phong'],*
丱,['quán'],*
丳,['sạn'],*
丵,['trác'],*
丶,['chủ'],*
丸,['hoàn'],*
乂,['nghệ'],*
久,['cửu'],*
乆,['cửu'],*
之,['chi'],*
乏,['phạp'],*
乒,['binh'],*
乕,['hổ'],*
乖,['quai'],*
乙,['ất'],*
乢,['cái'],*
乩,['kê'],*
乳,['nhũ'],*
乴,['tích'],*
亀,['quy'],*
亁,['can'],*
亂,['loạn'],*
亄,['ý'],*
亅,['quyết'],*
亊,['sự'],*
事,['sự'],*
二,['nhị'],*
云,['vân'],*
互,['hỗ'],*
五,['ngũ'],*
亙,['cắng'],*
亝,['tề'],*
亠,['đầu'],*
交,['giao'],*
亦,['diệc'],*
享,['hưởng'],*
亭,['đình'],*
亯,['hanh'],*
亱,['dạ'],*
亳,['bạc'],*
亼,['tập'],*
亾,['vong'],*
仂,['lặc'],*
仄,['trắc'],*
仉,['chưởng'],*
今,['kim'],*
介,['giới'],*
仌,['băng'],*
仍,['nhưng'],*
仏,['phật'],*
仕,['sĩ'],*
仗,['trượng'],*
仙,['tiên'],*
仝,['đồng'],*
仞,['nhận'],*
仟,['thiên'],*
仡,['ngật'],*
代,['đại'],*
以,['dĩ'],*
仨,['ta'],*
仫,['mu'],*
仲,['trọng'],*
仵,['ngỗ'],*
件,['kiện'],*
伀,['chung'],*
企,['xí'],*
伄,['điếu'],*
伇,['dịch'],*
伈,['tẩm'],*
伉,['kháng'],*
伊,['y'],*
伋,['cấp'],*
伍,['ngũ'],*
伐,['phạt'],*
伕,['phu'],*
估,['cổ'],*
伲,['nễ'],*
伶,['linh'],*
伸,['thân'],*
伻,['bình'],*
伾,['phi'],*
佀,['tự'],*
佃,['điền'],*
佇,['trữ'],*
佈,['bố'],*
佉,['khư'],*
佌,['thử'],*
位,['vị'],*
低,['đê'],*
佐,['tá'],*
何,['hà'],*
佘,['xà'],*
佝,['câu'],*
佞,['nịnh'],*
佤,['ngoã'],*
佧,['kha'],*
佩,['bội'],*
佪,['hồi'],*
佬,['lão'],*
佯,['dương'],*
佳,['giai'],*
併,['tính'],*
佶,['cát'],*
佸,['quát'],*
佹,['quỷ'],*
佽,['thứ'],*
佾,['dật'],*
侀,['hinh'],*
侂,['thác'],*
侃,['khản'],*
侅,['cai'],*
侇,['di'],*
侈,['xỉ'],*
侉,['khoa'],*
例,['lệ'],*
侌,['âm'],*
侍,['thị'],*
侑,['hựu'],*
侔,['mâu'],*
侘,['sá'],*
侚,['tuẫn'],*
価,['giá'],*
侶,['lữ'],*
侷,['cục'],*
便,['tiện'],*
係,['hệ'],*
促,['xúc'],*
俄,['nga'],*
俉,['ngộ'],*
俊,['tuấn'],*
俎,['trở'],*
俓,['kính'],*
俗,['tục'],*
俘,['phu'],*
保,['bảo'],*
俟,['sĩ'],*
俠,['hiệp'],*
修,['tu'],*
俯,['phủ'],*
俱,['câu'],*
俵,['biểu'],*
俷,['phị'],*
俸,['bổng'],*
俺,['yêm'],*
俻,['bị'],*
倀,['trành'],*
倂,['tính'],*
倆,['lưỡng'],*
個,['cá'],*
倌,['quan'],*
倍,['bội'],*
倏,['thúc'],*
倐,['thúc'],*
們,['môn'],*
倔,['quật'],*
倖,['hãnh'],*
倘,['thảng'],*
候,['hậu'],*
倜,['thích'],*
倝,['cán'],*
借,['tá'],*
倢,['tiệp'],*
倥,['không'],*
倦,['quyện'],*
倨,['cứ'],*
倪,['nghê'],*
倫,['luân'],*
倬,['trác'],*
倶,['câu'],*
倸,['thải'],*
倹,['kiệm'],*
值,['trị'],*
倽,['xá'],*
偃,['yển'],*
偉,['vĩ'],*
偎,['ôi'],*
偏,['thiên'],*
偕,['giai'],*
偘,['khản'],*
做,['tố'],*
停,['đình'],*
偝,['bội'],*
偟,['hoàng'],*
健,['kiện'],*
偨,['sai'],*
偩,['phụ'],*
偫,['trĩ'],*
偰,['tiết'],*
側,['trắc'],*
偵,['trinh'],*
偶,['ngẫu'],*
偽,['nguỵ'],*
傈,['lật'],*
傎,['điên'],*
傑,['kiệt'],*
傓,['phiến'],*
傔,['khiểm'],*
備,['bị'],*
傚,['hiệu'],*
傜,['dao'],*
傢,['gia'],*
傣,['thái'],*
催,['thôi'],*
傮,['tao'],*
傯,['tổng'],*
傲,['ngạo'],*
傴,['ủ'],*
債,['trái'],*
傷,['thương'],*
傺,['sế'],*
傾,['khuynh'],*
僃,['bị'],*
僇,['lục'],*
僉,['thiêm'],*
僊,['tiên'],*
働,['động'],*
僑,['kiều'],*
僔,['tổn'],*
僕,['bộc'],*
僚,['liêu'],*
僞,['nguỵ'],*
僦,['tựu'],*
僧,['tăng'],*
僨,['phẫn'],*
僬,['tiêu'],*
僭,['tiếm'],*
僰,['bặc'],*
僱,['cố'],*
僳,['túc'],*
僴,['giản'],*
僾,['ái'],*
僿,['tái'],*
儀,['nghi'],*
儁,['tuấn'],*
億,['ức'],*
儆,['cảnh'],*
儇,['huyên'],*
儉,['kiệm'],*
儊,['sứ'],*
儌,['kiêu'],*
儕,['sài'],*
儗,['nghĩ'],*
儜,['ninh'],*
償,['thường'],*
儡,['lỗi'],*
儤,['bạo'],*
儩,['tứ'],*
優,['ưu'],*
儵,['thúc'],*
儷,['lệ'],*
儸,['la'],*
儹,['toản'],*
儺,['na'],*
儻,['thảng'],*
儼,['nghiễm'],*
儽,['luy'],*
元,['nguyên'],*
充,['sung'],*
兆,['triệu'],*
兇,['hung'],*
光,['quang'],*
克,['khắc'],*
児,['nhi'],*
兕,['huỷ'],*
兙,['thập khắc'],*
兛,['thiên khắc'],*
兜,['đâu'],*
兟,['sân'],*
兢,['căng'],*
入,['nhập'],*
全,['toàn'],*
兪,['du'],*
八,['bát'],*
公,['công'],*
六,['lục'],*
兲,['thiên'],*
兵,['binh'],*
具,['cụ'],*
典,['điển'],*
兼,['kiêm'],*
冂,['quynh'],*
冃,['mạo'],*
冄,['nhiễm'],*
円,['viên'],*
冇,['mão'],*
冉,['nhiễm'],*
冊,['sách'],*
冋,['quynh'],*
再,['tái'],*
冏,['quýnh'],*
冐,['mạo'],*
冑,['trụ'],*
冓,['cấu'],*
冔,['hu'],*
冕,['miện'],*
冖,['mịch'],*
冗,['nhũng'],*
冘,['dâm'],*
冞,['my'],*
冡,['mông'],*
冣,['tối'],*
冤,['oan'],*
冥,['minh'],*
冫,['băng'],*
冬,['đông'],*
冶,['dã'],*
冷,['lạnh'],*
冽,['liệt'],*
凄,['thê'],*
凈,['tịnh'],*
凋,['điêu'],*
凌,['lăng'],*
凓,['lật'],*
凜,['lẫm'],*
凝,['ngưng'],*
凟,['độc'],*
凢,['phàm'],*
凥,['cư'],*
凰,['hoàng'],*
凱,['khải'],*
凳,['đắng'],*
凴,['bằng'],*
凵,['khảm'],*
凶,['hung'],*
凸,['đột'],*
凹,['ao'],*
凼,['đãng'],*
函,['hàm'],*
刀,['đao'],*
刁,['điêu'],*
刂,['đao'],*
刈,['ngải'],*
刌,['thiển'],*
刎,['vẫn'],*
刑,['hình'],*
刓,['ngoan'],*
列,['liệt'],*
刜,['phất'],*
初,['sơ'],*
判,['phán'],*
別,['biệt'],*
刦,['kiếp'],*
刧,['kiếp'],*
刨,['bào'],*
利,['lợi'],*
刪,['san'],*
刮,['quát'],*
到,['đáo'],*
刲,['khuê'],*
刳,['khô'],*
刴,['đoá'],*
制,['chế'],*
券,['khoán'],*
刼,['kiếp'],*
剁,['đoá'],*
剃,['thế'],*
剅,['lâu'],*
則,['tắc'],*
剉,['toả'],*
剋,['khắc'],*
剌,['lạt'],*
剒,['thố'],*
剖,['phẫu'],*
剜,['oan'],*
剟,['xuyết'],*
剡,['diệm'],*
剣,['kiếm'],*
剤,['tễ'],*
剩,['thặng'],*
剪,['tiễn'],*
剮,['quả'],*
割,['cắt'],*
剳,['tráp'],*
剷,['sản'],*
剹,['lục'],*
剿,['tiễu'],*
劂,['quyết'],*
劃,['hoạch'],*
劇,['kịch'],*
劈,['phách'],*
劉,['lưu'],*
劌,['quế'],*
劍,['kiếm'],*
劐,['hoát'],*
劒,['kiếm'],*
劙,['ly'],*
力,['lực'],*
功,['công'],*
加,['gia'],*
劣,['liệt'],*
劦,['hiệp'],*
助,['trợ'],*
努,['nỗ'],*
劫,['kiếp'],*
劬,['cù'],*
劭,['thiệu'],*
労,['lao'],*
劵,['quyển'],*
効,['hiệu'],*
劻,['khuông'],*
劼,['cật'],*
劾,['hặc'],*
勃,['bột'],*
勅,['sắc'],*
勇,['dũng'],*
勍,['kình'],*
勐,['mãnh'],*
勒,['lặc'],*
動,['động'],*
勘,['khám'],*
勛,['huân'],*
募,['mộ'],*
勠,['lục'],*
勢,['thế'],*
勣,['tích'],*
勤,['cần'],*
勦,['tiễu'],*
勧,['cần'],*
勩,['duệ'],*
勰,['hiệp'],*
勱,['mại'],*
勲,['huân'],*
勳,['huân'],*
勵,['lệ'],*
勷,['nhương'],*
勸,['khuyến'],*
勹,['bao'],*
勻,['quân'],*
勿,['vật'],*
匃,['cái'],*
匄,['cái'],*
包,['bao'],*
匆,['thông'],*
匈,['hung'],*
匉,['phanh'],*
匊,['cúc'],*
匋,['đào'],*
匍,['bồ'],*
匐,['bặc'],*
匑,['cung'],*
匙,['thi'],*
匚,['phương'],*
匟,['kháng'],*
匠,['tượng'],*
匡,['khuông'],*
匣,['hạp'],*
匧,['kiếp'],*
匪,['phỉ'],*
匭,['quỹ'],*
匱,['quỹ'],*
匳,['liêm'],*
匴,['toán'],*
匵,['độc'],*
匽,['yển'],*
匿,['nặc'],*
十,['thập'],*
卂,['tín'],*
千,['thiên'],*
升,['thăng'],*
午,['ngọ'],*
卉,['huỷ'],*
半,['bán'],*
卋,['thế'],*
卌,['tấp'],*
卍,['vạn'],*
卐,['vạn'],*
卓,['trác'],*
協,['hiệp'],*
博,['bác'],*
卞,['biện'],*
卟,['kê'],*
卣,['dữu'],*
卦,['quái'],*
卨,['tiết'],*
卩,['tiết'],*
卬,['ngang'],*
卮,['chi'],*
印,['ấn'],*
即,['tức'],*
卸,['tá'],*
卹,['tuất'],*
卻,['khước'],*
卽,['tức'],*
卿,['khanh'],*
厀,['tất'],*
厓,['nhai'],*
厔,['chất'],*
厙,['xá'],*
厚,['hậu'],*
厜,['tuy'],*
厞,['phi'],*
厤,['lịch'],*
厥,['quyết'],*
厮,['tư'],*
厰,['xưởng'],*
厳,['nghiêm'],*
厴,['áp'],*
厺,['khứ'],*
厾,['đâu'],*
叁,['tam'],*
叉,['xoa'],*
及,['cập'],*
友,['hữu'],*
収,['thâu'],*
叒,['nhược'],*
叔,['thúc'],*
叕,['chuyết'],*
叡,['duệ'],*
叢,['tùng'],*
口,['khẩu'],*
古,['cổ'],*
另,['lánh'],*
叩,['khấu'],*
叫,['khiếu'],*
叭,['bá'],*
叮,['đinh'],*
叱,['sất'],*
史,['sử'],*
右,['hữu'],*
叵,['phả'],*
叻,['lặc'],*
叼,['điêu'],*
各,['các'],*
吆,['yêu'],*
吉,['cát'],*
吊,['điếu'],*
同,['đồng'],*
名,['danh'],*
吏,['lại'],*
吐,['thổ'],*
吚,['y'],*
君,['quân'],*
吝,['lận'],*
吞,['thôn'],*
吟,['ngâm'],*
吠,['phệ'],*
吥,['bất'],*
吧,['ba'],*
吩,['phân'],*
吪,['ngoa'],*
吮,['duyện'],*
吰,['hoành'],*
吲,['sẩn'],*
吳,['ngô'],*
吸,['hấp'],*
吻,['vẫn'],*
吼,['hống'],*
吾,['ngô'],*
呃,['ách'],*
呈,['trình'],*
呉,['ngô'],*
呋,['phu'],*
呎,['xích'],*
呏,['thăng'],*
呑,['thôn'],*
呝,['ách'],*
呣,['mô'],*
呤,['linh'],*
呦,['u'],*
呧,['để'],*
呪,['chú'],*
呰,['tử'],*
呲,['thử'],*
味,['vị'],*
呶,['nao'],*
呷,['hạp'],*
命,['mệnh'],*
呿,['khư'],*
咂,['táp'],*
咆,['bào'],*
咊,['hoà'],*
咑,['đát'],*
咒,['chú'],*
咔,['ca'],*
咕,['cô'],*
咚,['đông'],*
咠,['thấp'],*
咡,['nhị'],*
咢,['ngạc'],*
咣,['quang'],*
咦,['di'],*
咨,['tư'],*
咩,['mị'],*
咫,['chỉ'],*
咲,['tiếu'],*
咷,['đào'],*
咿,['y'],*
哀,['ai'],*
品,['phẩm'],*
哂,['sẩn'],*
哄,['hống'],*
哇,['oa'],*
哉,['tai'],*
哏,['ngận'],*
哞,['mâu'],*
哢,['lộng'],*
哤,['mang'],*
哥,['ca'],*
哦,['nga'],*
哫,['túc'],*
哭,['khóc'],*
哮,['hao'],*
哰,['lao'],*
哲,['triết'],*
哳,['triết'],*
哶,['mã'],*
哼,['hanh'],*
哽,['ngạnh'],*
唆,['toa'],*
唈,['ấp'],*
唉,['ai'],*
唎,['lợi'],*
唐,['đường'],*
唕,['tạo'],*
唣,['tạo'],*
唧,['tức'],*
唪,['phủng'],*
售,['thụ'],*
唱,['xướng'],*
唳,['lệ'],*
唷,['dục'],*
唾,['thoá'],*
唿,['hốt'],*
啃,['khẳng'],*
啅,['trác'],*
商,['thương'],*
問,['vấn'],*
